"host_is_superhost"	"host_identity_verified"	"bathrooms"	"bedrooms"	"beds"	"Private room"	"Entire home/apt"	"Shared room"	"Real Bed"	"Pull-out Sofa"	"Futon"	"Airbed"	"Couch"	"price"
0	1	1	1	3	0	1	0	1	0	0	0	0	125
0	1	1	1	1	0	1	0	1	0	0	0	0	70
0	1	2	2	2	0	1	0	1	0	0	0	0	130
0	1	1	1	1	1	0	0	1	0	0	0	0	95
0	1	2	2	2	0	1	0	1	0	0	0	0	375
0	1	1	1	1	1	0	0	1	0	0	0	0	80
0	0	1	1	2	0	1	0	1	0	0	0	0	155
1	1	1	1	1	1	0	0	1	0	0	0	0	99
0	1	1	2	3	0	1	0	1	0	0	0	0	485
0	0	1	2	2	0	1	0	1	0	0	0	0	310
0	1	1	1	1	0	1	0	1	0	0	0	0	110
1	1	1	1	2	0	1	0	1	0	0	0	0	167
0	1	1	1	2	0	1	0	1	0	0	0	0	147
0	1	1	2	3	0	1	0	1	0	0	0	0	220
1	1	1	1	1	1	0	0	1	0	0	0	0	65
0	1	1	1	1	1	0	0	1	0	0	0	0	60
0	1	2	2	2	0	1	0	1	0	0	0	0	290
1	1	1	1	1	1	0	0	1	0	0	0	0	34
0	1	1	1	1	1	0	0	1	0	0	0	0	75
1	1	1	1	1	1	0	0	1	0	0	0	0	60
0	0	1	1	3	0	1	0	0	1	0	0	0	300
0	1	1	1	1	1	0	0	0	0	1	0	0	60
0	0	1	1	1	0	1	0	1	0	0	0	0	88
0	0	1	1	1	1	0	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	135
1	1	1	1	1	1	0	0	1	0	0	0	0	75
0	1	2	1	1	1	0	0	1	0	0	0	0	30
0	1	1	1	1	0	1	0	1	0	0	0	0	250
0	0	1	1	1	1	0	0	1	0	0	0	0	64
0	1	1	2	3	0	1	0	1	0	0	0	0	300
0	1	1	2	2	0	1	0	1	0	0	0	0	200
0	1	1	2	2	0	1	0	1	0	0	0	0	140
0	0	1	1	1	0	1	0	1	0	0	0	0	90
0	1	1	3	4	0	1	0	1	0	0	0	0	300
0	1	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	1	1	1	0	0	1	0	0	0	0	47
0	1	1	1	1	0	1	0	1	0	0	0	0	179
0	1	1	2	2	0	1	0	1	0	0	0	0	189
0	0	1	1	1	0	1	0	1	0	0	0	0	249
0	0	1	2	4	1	0	0	1	0	0	0	0	65
1	0	1	1	1	0	1	0	1	0	0	0	0	209
0	1	1	1	1	0	1	0	1	0	0	0	0	70
1	1	1	1	1	0	1	0	1	0	0	0	0	199
0	0	1	1	1	0	1	0	1	0	0	0	0	100
0	0	1	1	1	0	1	0	1	0	0	0	0	110
0	0	1	2	2	0	1	0	1	0	0	0	0	192
0	0	1	1	1	0	1	0	1	0	0	0	0	105
0	0	1	1	2	1	0	0	1	0	0	0	0	125
0	0	1	1	1	1	0	0	1	0	0	0	0	60
0	1	1	1	1	1	0	0	0	0	0	1	0	44
0	1	1	1	1	1	0	0	1	0	0	0	0	55
0	1	1	2	1	1	0	0	1	0	0	0	0	35
0	0	1	1	1	1	0	0	1	0	0	0	0	70
0	1	1	1	1	1	0	0	1	0	0	0	0	75
0	1	1	1	1	1	0	0	1	0	0	0	0	190
0	0	1	2	1	0	1	0	1	0	0	0	0	130
0	1	1	1	2	0	1	0	1	0	0	0	0	150
0	0	1	1	1	0	1	0	1	0	0	0	0	295
0	0	1	1	1	1	0	0	1	0	0	0	0	135
0	1	1	1	2	1	0	0	1	0	0	0	0	99
0	1	1	1	1	1	0	0	1	0	0	0	0	75
1	1	1	1	2	0	1	0	1	0	0	0	0	109
0	1	2	2	2	0	1	0	1	0	0	0	0	225
0	1	1.5	2	1	0	1	0	1	0	0	0	0	245
0	1	1	1	2	1	0	0	1	0	0	0	0	180
0	1	1	1	1	0	1	0	1	0	0	0	0	106
1	1	2	2	2	0	1	0	1	0	0	0	0	299
0	1	1	2	3	0	1	0	1	0	0	0	0	165
0	0	2.5	5	6	0	1	0	1	0	0	0	0	500
0	0	1	1	1	0	1	0	1	0	0	0	0	250
0	1	1	1	1	1	0	0	0	1	0	0	0	80
0	1	1	1	1	0	1	0	1	0	0	0	0	121
0	1	1	1	1	1	0	0	1	0	0	0	0	195
0	0	1	1	1	1	0	0	0	0	0	1	0	160
0	1	1	1	1	0	1	0	1	0	0	0	0	70
0	1	1	1	1	1	0	0	1	0	0	0	0	100
0	1	1	1	1	1	0	0	1	0	0	0	0	160
0	1	1	2	2	0	1	0	1	0	0	0	0	178
0	1	1	1	1	0	1	0	1	0	0	0	0	125
0	1	1	1	1	1	0	0	1	0	0	0	0	77
0	1	1	1	1	1	0	0	0	1	0	0	0	60
0	0	1	1	2	0	0	1	1	0	0	0	0	115
1	1	1.5	2	3	1	0	0	1	0	0	0	0	175
0	1	1	1	2	0	1	0	1	0	0	0	0	125
0	0	1	1	1	1	0	0	1	0	0	0	0	120
0	1	1	2	2	0	1	0	1	0	0	0	0	190
0	1	1	2	2	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	50
0	1	1	1	1	1	0	0	1	0	0	0	0	160
0	1	1	1	3	1	0	0	1	0	0	0	0	180
0	0	1	1	1	1	0	0	0	0	1	0	0	100
0	1	1	1	1	1	0	0	1	0	0	0	0	70
0	0	1	1	3	1	0	0	1	0	0	0	0	110
0	0	1	1	2	1	0	0	1	0	0	0	0	99
1	0	1	1	1	1	0	0	1	0	0	0	0	90
0	1	2	1	1	1	0	0	1	0	0	0	0	75
0	1	1	1	1	0	1	0	1	0	0	0	0	350
0	0	1	1	1	1	0	0	1	0	0	0	0	85
0	1	1.5	2	4	0	1	0	1	0	0	0	0	250
0	1	1	2	4	0	1	0	1	0	0	0	0	300
0	0	1	1	1	1	0	0	1	0	0	0	0	125
1	1	1	1	1	0	1	0	1	0	0	0	0	147
0	1	1	2	1	0	1	0	1	0	0	0	0	145
0	0	1	1	1	0	1	0	1	0	0	0	0	145
0	1	1	1	2	0	1	0	1	0	0	0	0	75
0	0	1	1	2	0	1	0	1	0	0	0	0	95
0	1	1	1	1	0	1	0	1	0	0	0	0	275
0	1	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	2	2	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	325
1	1	1	1	1	0	1	0	1	0	0	0	0	129
1	1	1.5	2	1	0	1	0	0	0	0	1	0	130
0	0	1	1	1	0	1	0	1	0	0	0	0	190
0	1	1	1	1	1	0	0	1	0	0	0	0	60
0	1	1	1	2	0	1	0	1	0	0	0	0	250
0	1	1	1	1	1	0	0	1	0	0	0	0	145
0	1	1	1	2	0	1	0	1	0	0	0	0	200
0	1	1	1	1	1	0	0	1	0	0	0	0	58
0	1	2	1	1	0	1	0	1	0	0	0	0	350
0	1	2	4	4	0	1	0	1	0	0	0	0	299
0	1	1	1	1	0	1	0	1	0	0	0	0	125
1	1	2.5	2	2	0	1	0	1	0	0	0	0	189
0	1	1	1	1	1	0	0	1	0	0	0	0	100
0	1	1	1	1	0	1	0	1	0	0	0	0	299
0	0	1	1	1	1	0	0	1	0	0	0	0	110
0	1	1.5	4	4	0	1	0	1	0	0	0	0	200
0	1	1	2	3	0	1	0	1	0	0	0	0	260
0	0	1	2	3	0	1	0	1	0	0	0	0	225
0	1	1	1	1	1	0	0	1	0	0	0	0	65
0	0	1	2	2	0	1	0	1	0	0	0	0	99
0	1	1	2	2	0	1	0	1	0	0	0	0	315
1	1	1	2	4	0	1	0	1	0	0	0	0	229
0	1	1	2	2	0	1	0	1	0	0	0	0	100
0	0	1	1	1	0	1	0	1	0	0	0	0	200
0	0	1	1	1	1	0	0	1	0	0	0	0	89
0	1	1	1	1	1	0	0	1	0	0	0	0	65
0	1	1	1	1	1	0	0	1	0	0	0	0	65
0	1	2	3	4	0	1	0	1	0	0	0	0	500
0	1	1	2	2	0	1	0	1	0	0	0	0	145
0	1	1	1	1	1	0	0	1	0	0	0	0	110
0	0	2	1	2	0	1	0	1	0	0	0	0	180
0	1	1	1	1	0	1	0	1	0	0	0	0	115
0	0	1	2	2	0	1	0	1	0	0	0	0	82
0	1	1	1	1	0	1	0	1	0	0	0	0	155
0	0	1	1	1	0	1	0	1	0	0	0	0	117
0	1	1	1	1	0	1	0	1	0	0	0	0	100
0	1	1	1	2	0	1	0	1	0	0	0	0	155
0	1	1	2	2	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	380
0	0	4.5	5	6	0	1	0	1	0	0	0	0	350
0	1	1	1	2	0	1	0	1	0	0	0	0	105
1	1	1	1	1	1	0	0	1	0	0	0	0	125
0	0	1	2	2	0	1	0	1	0	0	0	0	225
0	1	1	1	3	1	0	0	1	0	0	0	0	200
0	1	2	2	4	0	1	0	1	0	0	0	0	68
0	1	1	1	1	1	0	0	1	0	0	0	0	75
1	1	1	1	1	0	1	0	1	0	0	0	0	160
0	0	2.5	4	4	0	1	0	1	0	0	0	0	249
0	0	1	2	1	1	0	0	1	0	0	0	0	35
0	0	1	1	3	0	1	0	1	0	0	0	0	300
0	1	1	2	1	1	0	0	1	0	0	0	0	68
0	0	1	1	1	0	1	0	1	0	0	0	0	198
0	0	1	1	1	0	1	0	1	0	0	0	0	100
0	1	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	1	1	0	1	0	1	0	0	0	0	180
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	0	1	1	2	0	1	0	1	0	0	0	0	175
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	145
0	1	1	2	2	0	1	0	1	0	0	0	0	96
0	0	1	1	2	0	1	0	1	0	0	0	0	125
0	0	1	1	3	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	180
1	1	1	1	1	0	1	0	1	0	0	0	0	99
0	1	1	1	1	0	1	0	1	0	0	0	0	130
0	1	1	2	2	0	1	0	1	0	0	0	0	150
0	1	1	1	1	0	1	0	1	0	0	0	0	70
0	0	1	1	1	1	0	0	1	0	0	0	0	82
0	1	1	1	1	0	1	0	1	0	0	0	0	160
0	1	1	1	1	1	0	0	1	0	0	0	0	115
0	1	1	1	1	1	0	0	1	0	0	0	0	150
0	0	1	1	1	0	1	0	1	0	0	0	0	69
0	1	2	4	4	0	1	0	1	0	0	0	0	375
0	1	1	1	1	0	1	0	1	0	0	0	0	200
0	1	1	1	1	0	1	0	1	0	0	0	0	150
0	1	1	1	2	1	0	0	1	0	0	0	0	50
0	1	1	1	1	1	0	0	1	0	0	0	0	60
0	0	1	1	1	1	0	0	1	0	0	0	0	90
0	0	1	1	1	0	1	0	1	0	0	0	0	175
0	1	1	1	1	1	0	0	1	0	0	0	0	36
0	1	1	2	2	0	1	0	1	0	0	0	0	250
0	1	2	2	2	0	1	0	1	0	0	0	0	275
0	0	1	1	1	0	1	0	1	0	0	0	0	450
0	1	1	1	2	0	1	0	1	0	0	0	0	165
1	1	1.5	2	2	0	1	0	1	0	0	0	0	175
