"neighbourhood","latitude","longitude","property_type","bathrooms","bedrooms","beds","host_is_superhost","parking","room_type_Entire home/apt","room_type_Private room","room_type_Shared room","Target"
128,40.66777,-73.9836699999999,1,1,1,1,0,0,0,1,0,">  $100"
18,40.6778599999999,-73.97166,1,1,1,1,0,0,0,1,0,"$50  AND $100"
101,40.7776099999999,-73.94606,1,1,1,1,0,1,0,1,0,"$50  AND $100"
10,40.69043,-73.9567699999999,1,1.5,2,2,1,1,1,0,0,">  $100"
101,40.72006,-73.99579,1,1,1,1,1,0,0,1,0,"$50  AND $100"
95,40.6584099999999,-73.95016,21,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.78024,-73.94813,1,1,1,1,0,1,1,0,0,">  $100"
128,40.6599,-73.98279,1,1,1,1,0,1,0,1,0,"$50  AND $100"
18,40.68343,-73.99189,1,1,1,1,0,0,1,0,0,"$50  AND $100"
101,40.78292,-73.97438,1,1,1,2,1,1,1,0,0,">  $100"
18,40.70989,-73.95347,1,1,2,2,0,0,1,0,0,">  $100"
18,40.6877,-73.95824,1,1,2,2,0,1,1,0,0,">  $100"
101,40.77247,-73.94665,1,1,1,1,0,0,1,0,0,">  $100"
101,40.73413,-74.00465,1,2,2,2,0,0,1,0,0,">  $100"
18,40.67293,-73.96399,1,1,1,1,0,0,1,0,0,">  $100"
181,40.7095799999999,-73.93578,1,1,1,1,0,1,1,0,0,"$50  AND $100"
18,40.66839,-73.96001,1,1,1,1,0,0,0,1,0,"$50  AND $100"
80,40.80352,-73.95127,1,1,2,4,1,0,1,0,0,">  $100"
18,40.71455,-73.93739,21,2,4,4,0,1,1,0,0,">  $100"
18,40.70074,-73.92333,12,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.8224,-73.94358,1,1,1,1,0,1,0,1,0,"$50  AND $100"
101,40.76758,-73.98722,1,1,1,1,0,0,1,0,0,"$50  AND $100"
101,40.74189,-73.97833,1,1,1,2,0,0,1,0,0,"$50  AND $100"
101,40.76934,-73.98464,1,1,1,1,0,0,1,0,0,"$50  AND $100"
101,40.74004,-74.00426,1,1.5,1,1,0,0,1,0,0,">  $100"
18,40.6886299999999,-74.0018099999999,1,1,2,3,0,1,1,0,0,">  $100"
